"Day Number","Day Label","Phase","Week","Is Milestone","Practice Paper #","Practice Paper Title","Practice Paper Duration","Physics Topic","Physics Class Concept","Physics Practice Target","Physics MCQ Count","Physics Subtopics","Chemistry Topic","Chemistry Class Concept","Chemistry Practice Target","Chemistry MCQ Count","Chemistry Subtopics","Biology Topic","Biology NCERT Concept","Biology Practice Target","Biology MCQ Count","Biology Subtopics","Total MCQs Target","PYQs Target","MCQ Breakdown","Revision Primary Task","Error Book Focus","NCERT Revision","Test Session"
"116","DAY 116","2","17","NO","","","","Dual Nature of Radiation and Matter: Photoelectric Effect Laws & Einstein Equation","Photoelectric effect: threshold frequency ν₀, work function Φ₀ = hν₀; Einstein photoelectric equation: K_max = hν - Φ₀ = e V₀ where V₀ is stopping potential; laws of photoelectric effect: immediate emission (< 10⁻⁹ s), K_max independent of intensity but depends linearly on frequency, photoelectric current ∝ light intensity; Millikan verification (slope of V₀ vs ν graph = h/e)","35 numericals on threshold wavelength, stopping potential, and Einstein equation","35","Dual Nature of Radiation and Matter: Photoelectric Effect Laws & Einstein Equation","Amines: Classification, Nomenclature & Preparation Methods","Classification of amines (1°, 2°, 3°, quaternary ammonium salts); preparation: (1) reduction of nitro compounds (H2/Pd, Fe/HCl, Sn/HCl), (2) ammonolysis of alkyl halides (Hoffmann ammonolysis, mixture of amines), (3) reduction of nitriles (LiAlH4) and amides, (4) Gabriel phthalimide synthesis (pure 1° aliphatic amines, aromatic amines cannot be prepared), (5) Hoffmann bromamide degradation reaction (RCONH2 + Br2 + 4NaOH -> RNH2 with one less C atom)","35 problems on amine synthesis: Hoffmann bromamide degradation and Gabriel phthalimide","35","Amines: Classification, Nomenclature & Preparation Methods","Biotechnology: Principles and Processes — Tools of Recombinant DNA Technology","Core techniques: genetic engineering (recombinant DNA) + bioprocess engineering; Tools: (1) Restriction enzymes (molecular scissors: exonucleases vs endonucleases, Hind II first discovered, EcoRI recognition sequence 5'-GAATTC-3', sticky ends vs blunt ends), (2) DNA ligase (molecular glue), (3) Cloning vectors: plasmids (pBR322: ori origin of replication controls copy number, selectable markers ampR and tetR, rop codes for proteins involved in replication, insertional inactivation: β-galactosidase blue-white screening), (4) Competent host (divalent cation Ca2+ treatment, heat shock 42°C, microinjection in animals, gene gun/biolistics in plants)","50 line-based NCERT MCQs on restriction enzyme palindromes and pBR322 vector features","50","Biotechnology: Principles and Processes — Tools of Recombinant DNA Technology","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Slope of stopping potential vs frequency graph is h/e (universal constant)","Hoffmann bromamide reaction product has one less carbon atom than parent amide in Error Book","pBR322 plasmid map with restriction sites and selectable markers diagram",""
"117","DAY 117","2","17","NO","","","","Dual Nature of Radiation: de Broglie Relation & Davisson-Germer Experiment","de Broglie hypothesis λ = h/p = h/mv; de Broglie wavelength of accelerated electron: λ = h / √(2m e V) = 1.227 / √V nm; de Broglie wavelength of gas molecules λ = h / √(3m k_B T); Davisson-Germer experiment: nickel crystal electron diffraction, confirms wave nature of electrons (constructive interference peak at 54 V at 50° angle)","35 numericals on de Broglie wavelength of electrons, alpha particles, protons","35","Dual Nature of Radiation: de Broglie Relation & Davisson-Germer Experiment","Amines: Physical Properties & Basicity of Amines","Boiling points (1° > 2° > 3° due to intermolecular H-bonding); solubility in water; Basicity of amines in gas phase (3° > 2° > 1° > NH3 due to +I effect); Basicity in aqueous medium: combined effect of +I, steric hindrance, and hydration of conjugate cation: for methyl substituted amines (2° > 1° > 3° > NH3: 213 order), for ethyl substituted amines (2° > 3° > 1° > NH3: 231 order); basicity of aniline vs aliphatic amines (aniline weaker base due to resonance of lone pair into benzene ring)","35 problems ranking basicity of aliphatic and aromatic amines in aqueous medium","35","Amines: Physical Properties & Basicity of Amines","Biotechnology: Principles and Processes — Processes of rDNA Technology","Processes: (1) Isolation of DNA (cell lysis by lysozyme/chitinase/cellulase, RNase, protease, precipitation with chilled ethanol as spooling), (2) Cutting of DNA and Gel Electrophoresis (agarose gel, DNA fragments negatively charged migrate towards anode, smaller fragments move faster, stained with ethidium bromide orange bands under UV light, elution), (3) PCR (Polymerase Chain Reaction, Kary Mullis: 3 steps Denaturation 94°C, Annealing with primers ~54°C, Extension by Taq polymerase from Thermus aquaticus 72°C; 30 cycles amplify 1 billion times), (4) Bioreactors (stirred-tank vs sparged, optimal conditions), (5) Downstream processing","50 line-based NCERT MCQs on PCR temperatures, Taq polymerase, and gel electrophoresis","50","Biotechnology: Principles and Processes — Processes of rDNA Technology","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","de Broglie wavelength of electron accelerated by V volts: λ = 12.27 / √V Å","Amine basicity in aqueous medium (Methyl: 213, Ethyl: 231) in Error Book","PCR 3-step cycle flowchart and agarose gel electrophoresis bands diagram",""
"118","DAY 118","2","17","NO","","","","Atoms: Rutherford Nuclear Model & Bohr Postulates for Hydrogen Atom","Alpha-particle scattering experiment (Geiger-Marsden, distance of closest approach r₀ = 2kZe² / K); Bohr postulates: stable orbits, quantization of angular momentum L = nh/2π, Bohr radius r_n = (0.529 n² / Z) Å; orbital velocity v_n = (2.18 × 10⁶ Z / n) m/s; total energy E_n = -13.6 Z² / n² eV; relation between KE, PE, and total energy (KE = -E, PE = 2E)","35 numericals on energy transitions, ionization energy, and Bohr radius ratios","35","Atoms: Rutherford Nuclear Model & Bohr Postulates for Hydrogen Atom","Amines: Chemical Reactions & Diazonium Salts","Carbylamine test / Isocyanide test (1° aliphatic and aromatic amines + CHCl3 + alc. KOH -> foul smelling isocyanide, test for 1° amines); Hinsberg test (benzenesulfonyl chloride distinguishes 1°, 2°, 3° amines: 1° soluble in alkali, 2° insoluble in alkali, 3° does not react); Diazotization of aniline (NaNO2 + HCl at 0-5°C -> benzene diazonium chloride); Reactions of diazonium salts: Sandmeyer reaction (CuCl/HCl, CuBr/HBr, CuCN/KCN), Gattermann reaction (Cu powder), replacement by -I, -F (Balz-Schiemann), -H (H3PO2 or ethanol), -OH (warm water), azo coupling reaction (dyes with phenol orange dye, with aniline yellow dye)","35 problems on Hinsberg test, carbylamine test, and Sandmeyer conversions","35","Amines: Chemical Reactions & Diazonium Salts","Biotechnology and its Applications: Applications in Agriculture","Genetically Modified Organisms (GMOs): Bt Cotton (Bacillus thuringiensis produces crystal cry proteins: CryIAc and CryIIAb control cotton bollworms, CryIAb controls corn borer; inactive protoxin converted to active toxin in alkaline gut of insect, binds midgut epithelial cells creating pores and cell lysis); RNA interference (RNAi: gene silencing in all eukaryotes, double-stranded dsRNA processed by Dicer, introduced in tobacco plants via Agrobacterium tumefaciens vector against nematode Meloidogyne incognita root-knot infection)","50 line-based NCERT MCQs on Bt toxin activation and RNAi mechanism","50","Biotechnology and its Applications: Applications in Agriculture","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Bohr hydrogen energy level transitions (En ∝ -Z²/n²)","Hinsberg reagent (benzenesulfonyl chloride) distinguishing 1°, 2°, 3° amines in Error Book","Bt toxin pore formation and RNAi gene silencing mechanism flowchart",""
"119","DAY 119","2","17","NO","","","","Atoms & Nuclei: Atomic Spectra, Nuclear Composition & Mass Defect","Hydrogen line spectrum: Rydberg formula 1/λ = R Z² (1/n1² - 1/n2²); Lyman (UV, n1=1), Balmer (visible, n1=2), Paschen (IR, n1=3), Brackett, Pfund; Nuclear composition: atomic number Z, mass number A, nuclear radius R = R₀ A^(1/3) (R₀ = 1.2 fm); nuclear density constant (~2.3 × 10¹⁷ kg/m³ independent of A); Mass defect Δm = [Z m_p + (A - Z) m_n] - M_nucleus; Binding Energy BE = Δm c² = Δm × 931.5 MeV","35 numericals on Rydberg wavelength, nuclear radius, and binding energy per nucleon","35","Atoms & Nuclei: Atomic Spectra, Nuclear Composition & Mass Defect","Biomolecules (Class 12): Carbohydrates & Glucose Structure","Classification of carbohydrates; Glucose: Fischer projection, cyclic Haworth structures (α-D-glucopyranose and β-D-glucopyranose anomers differing at C1); reactions of glucose confirming: 6-carbon straight chain (HI/red P gives n-hexane), carbonyl group (HCN, hydroxylamine), aldehyde group (bromine water gives gluconic acid), 5 -OH groups (acetic anhydride gives glucose pentaacetate), primary alcohol group (conc. HNO3 gives saccharic acid); why open chain cannot explain lack of Schiff test and mutarotation","35 problems on glucose chemical reactions and anomer structures","35","Biomolecules (Class 12): Carbohydrates & Glucose Structure","Biotechnology and its Applications: Applications in Medicine","Genetically engineered insulin (Humulin by Eli Lilly 1983: human proinsulin has A chain 21 aa, B chain 30 aa, and extra C peptide 33 aa; mature insulin lacks C peptide; produced separate A and B chains in E. coli joined by disulfide bonds); Gene therapy (first clinical gene therapy in 1990 on 4-year-old girl with ADA adenosine deaminase deficiency, retroviral vector introducing functional ADA cDNA into patient lymphocytes); Molecular diagnosis: PCR, ELISA, recombinant antigen probes; Transgenic animals (Rosie cow produces human protein-enriched milk with human alpha-lactalbumin 2.4 g/L); Ethical issues & GEAC (Genetic Engineering Appraisal Committee), biopiracy (Basmati rice patent)","50 line-based NCERT MCQs on Humulin Eli Lilly process and ADA gene therapy","50","Biotechnology and its Applications: Applications in Medicine","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Binding energy per nucleon curve peak around Iron-56 (8.75 MeV/nucleon)","Glucose reactions confirming open chain vs cyclic structure in Error Book","Proinsulin processing into mature insulin and ADA gene therapy steps diagrams",""
"120","DAY 120","2","18","YES","","","","Nuclei: Binding Energy Curve, Nuclear Fission, Fusion & Nuclear Force","Binding energy per nucleon (BE/A) curve: maximum for Fe-56, lower for lighter and heavier nuclei; conclusion: lighter nuclei undergo fusion and heavier nuclei undergo fission to attain stability; Nuclear forces: strong, short range (~1 fm), charge independent, saturation property, non-central; Nuclear fission (U-235 chain reaction, critical mass, moderator D2O/graphite, control rods cadmium/boron); Nuclear fusion (proton-proton cycle in sun: 4 ¹H -> ⁴He + 2e⁺ + 2ν + 26.7 MeV)","35 numericals on Q-value of nuclear reactions, fission energy calculations","35","Nuclei: Binding Energy Curve, Nuclear Fission, Fusion & Nuclear Force","Biomolecules (Class 12): Proteins, Nucleic Acids & Vitamins","Proteins: peptide linkage, fibrous (keratin, myosin) vs globular (insulin, albumin); denaturation of proteins (loss of 2° and 3° structure, 1° intact, e.g., boiling of egg, curdling of milk); Nucleic acids: composition of DNA and RNA; Vitamins: fat-soluble (A, D, E, K) vs water-soluble (B-complex, C); deficiencies (Vit A night blindness, Vit B1 beriberi, Vit B12 pernicious anemia, Vit C scurvy, Vit D rickets, Vit K bleeding diathesis)","35 MCQs on protein denaturation, nucleic acid bonds, and vitamin deficiency table","35","Biomolecules (Class 12): Proteins, Nucleic Acids & Vitamins","Organisms and Populations: Organisms and its Environment","Major abiotic factors: Temperature (eurythermal vs stenothermal), Water (euryhaline vs stenohaline), Light, Soil; Responses to abiotic factors: Regulate (homeostasis, endotherms mammals/birds), Conform (ectotherms 99% animals), Migrate (Keoladeo Ghana National Park in Bharatpur hosts Siberian cranes), Suspend (hibernation winter sleep bears, aestivation summer sleep snails/fish, diapause zooplankton); Adaptations: Allen rule (mammals in colder climates have shorter ears and limbs to minimize heat loss), blubber in seals, kangaroo rat water conservation in North American desert, physiological altitude sickness adaptations (RBC production increases, binding affinity decreases, breathing rate increases)","50 line-based NCERT MCQs on Allen rule, altitude sickness, and abiotic factor responses","50","Organisms and Populations: Organisms and its Environment","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Week 17 Cumulative Revision: 720-minute rapid review across all Week 17 topics","Audit Week 17 Error Book: Q-value sign convention (Q > 0 exothermic, Q < 0 endothermic) check","Allen rule and altitude sickness physiological adaptation parameters review","MILESTONE TEST 15: Class 12 Week 5 Review (Atoms, Nuclei, Amines, Biomolecules 12, Biotech Applications)"
"121","DAY 121","2","18","NO","","","","Semiconductor Electronics: Energy Bands, Intrinsic & Extrinsic Semiconductors","Energy band theory: valence band, conduction band, energy band gap Eg (insulator Eg > 3 eV, semiconductor Eg ~ 1 eV, conductor Eg ≈ 0); Intrinsic semiconductor (pure Si/Ge, n_e = n_h = n_i, electrical conduction); Extrinsic semiconductors (doping): n-type (pentavalent dopant P, As, Sb donor, n_e >> n_h), p-type (trivalent dopant B, Al, In acceptor, n_h >> n_e); mass action law n_e × n_h = n_i²","35 numericals on semiconductor carrier concentration and mass action law","35","Semiconductor Electronics: Energy Bands, Intrinsic & Extrinsic Semiconductors","Class 12 Organic Chemistry Complete Named Reactions Marathon","Rapid revision of all 25 named organic reactions of Class 12: Sandmeyer, Gattermann, Finkelstein, Swarts, Wurtz-Fittig, Fittig, Kolbe, Reimer-Tiemann, Williamson, Rosenmund, Stephen, Etard, Gattermann-Koch, Clemmensen, Wolff-Kishner, Tollens, Fehling, Haloform, Aldol, Cannizzaro, HVZ, Gabriel Phthalimide, Hoffmann Bromamide, Carbylamine, Diazotization","40 problems identifying reagents and products in named reaction sequences","40","Class 12 Organic Chemistry Complete Named Reactions Marathon","Organisms and Populations: Population Attributes & Population Growth Models","Population attributes: birth rate (natality), death rate (mortality), sex ratio, age pyramids (expanding triangle, stable bell, declining urn-shaped); Population density (N); Population growth models: (1) Exponential growth (unlimited resources, J-shaped curve, dN/dt = rN, N_t = N₀ e^(rt) where r is intrinsic rate of natural increase), (2) Logistic growth (Verhulst-Pearl logistic growth, limited resources, carrying capacity K, S-shaped sigmoid curve, dN/dt = rN [(K - N) / K], more realistic)","50 line-based NCERT MCQs on exponential vs logistic growth equations and age pyramids","50","Organisms and Populations: Population Attributes & Population Growth Models","125","38","P: 35 | C: 40 | B: 50 (incl. ~38 PYQs)","Mass action law in semiconductors: n_e × n_h = n_i²","All 25 Class 12 named reactions reagent chart verification in Error Book","Exponential vs logistic growth curves and age pyramid shapes review",""
"122","DAY 122","2","18","NO","","","","Semiconductor Electronics: p-n Junction Diode (Formation & V-I Characteristics)","p-n junction formation: diffusion current and drift current, barrier potential (0.7 V for Si, 0.3 V for Ge), depletion layer thickness (~1 μm); Forward biasing (p to +, n to -, depletion layer narrows, barrier decreases, low resistance, conduction starts after cut-in knee voltage); Reverse biasing (p to -, n to +, depletion layer widens, high resistance, tiny reverse saturation current due to minority carriers, reverse breakdown voltage)","35 numericals on dynamic resistance of diode r_d = ΔV/ΔI and circuit currents","35","Semiconductor Electronics: p-n Junction Diode (Formation & V-I Characteristics)","Class 12 Inorganic Chemistry Complete Trends & Coordination Marathon","Rapid revision of d and f-block properties, magnetic moments, KMnO4/K2Cr2O7 redox stoichiometry, Werner valencies, IUPAC nomenclature, CFT splitting, and isomerism in complexes","40 timed coordination and d-block MCQs","40","Class 12 Inorganic Chemistry Complete Trends & Coordination Marathon","Organisms and Populations: Population Interactions (Symbiosis to Parasitism)","Types of interactions: (1) Mutualism (+/+ lichens, mycorrhiza, fig and fig wasp obligatory, sexual deceit in Ophrys orchid), (2) Commensalism (+/0 orchid on mango branch, barnacles on whale, cattle egret and grazing cattle, sea anemone and clown fish), (3) Predation (+/- biological control, prudency of predators, prey defenses: camouflage, Monarch butterfly poisonous cardiac glycosides, Calotropis cardiac glycosides), (4) Parasitism (+/- ectoparasites lice/ticks, endoparasites liver fluke, brood parasitism cuckoo/koel and crow), (5) Competition (-/- Gause competitive exclusion principle: two species competing for same limiting resource cannot coexist; Connell field experiments with barnacles Chthamalus and Balanus; Resource partitioning MacArthur warblers), (6) Amensalism (-/0 Penicillium and bacteria)","50 line-based NCERT MCQs on population interaction symbols and biological examples","50","Organisms and Populations: Population Interactions (Symbiosis to Parasitism)","125","38","P: 35 | C: 40 | B: 50 (incl. ~38 PYQs)","Diode dynamic resistance formula r_d = ΔV / ΔI","Gause competitive exclusion principle vs MacArthur resource partitioning in Error Book","Population interactions summary table 13.1 review",""
"123","DAY 123","2","18","NO","","","","Semiconductor Electronics: Diodes as Rectifiers (Half-Wave & Full-Wave)","Half-wave rectifier: single diode, output frequency = input frequency (f_out = f_in), efficiency max 40.6%; Full-wave rectifier (center-tapped and bridge): two diodes conducting in alternate half-cycles, output frequency = double input frequency (f_out = 2 f_in), efficiency max 81.2%; Filter circuits (capacitor filter in parallel, inductor filter in series smooths ripple)","35 numericals on rectifier output frequencies, ripple factor, and peak inverse voltage (PIV)","35","Semiconductor Electronics: Diodes as Rectifiers (Half-Wave & Full-Wave)","Class 12 Physical Chemistry Complete Formula Marathon (Solutions, Electro, Kinetics)","Rapid revision of all numerical formulas: Raoult law, colligative properties, van't Hoff factor, Nernst equation, Gibbs energy, Kohlrausch law, integrated rate equations, half-life, Arrhenius equation","40 timed physical chemistry numericals","40","Class 12 Physical Chemistry Complete Formula Marathon (Solutions, Electro, Kinetics)","Ecosystem: Ecosystem Structure, Productivity & Decomposition","Ecosystem components: abiotic + biotic (producers, consumers, decomposers); Stratification (vertical distribution of species); Primary productivity: Gross Primary Productivity (GPP) vs Net Primary Productivity (NPP = GPP - R where R is respiratory loss); Secondary productivity; Decomposition process: (1) Fragmentation (earthworm), (2) Leaching (water-soluble nutrients sink to soil horizon), (3) Catabolism (bacterial and fungal enzymes), (4) Humification (dark amorphous humus, resistant to microbes), (5) Mineralization (release of inorganic nutrients); factors affecting decomposition (warm and moist favors, rich in lignin/chitin slows down)","50 line-based NCERT MCQs on GPP/NPP calculations and decomposition stages","50","Ecosystem: Ecosystem Structure, Productivity & Decomposition","125","38","P: 35 | C: 40 | B: 50 (incl. ~38 PYQs)","Full-wave rectifier output frequency f_out = 2 f_in","NPP = GPP - R relationship and decomposition rate factors in Error Book","Decomposition cycle flowchart and primary productivity values table",""
"124","DAY 124","2","18","NO","","","","Semiconductor Electronics: Special Purpose Diodes & Logic Gates (AND, OR, NOT, NAND, NOR)","Zener diode: heavily doped, thin depletion layer, operates in reverse breakdown, Zener voltage Vz constant, used as voltage regulator; Photodiode (reverse bias, detects light); LED (forward bias, emits light, GaAsP); Solar cell (no bias, generates EMF); Logic gates: basic gates (AND: Y=A·B, OR: Y=A+B, NOT: Y=Ā); Universal gates (NAND, NOR); truth tables and De Morgan laws","35 problems on Zener voltage regulator calculations and logic gate truth tables","35","Semiconductor Electronics: Special Purpose Diodes & Logic Gates (AND, OR, NOT, NAND, NOR)","Class 12 Organic Conversions & Synthesis Master Drill","Multi-step organic synthesis problems connecting Haloalkanes -> Alcohols -> Aldehydes -> Carboxylic acids -> Amines","35 multi-step organic conversion problems","35","Class 12 Organic Conversions & Synthesis Master Drill","Ecosystem: Energy Flow, Ecological Pyramids & Ecological Succession","Energy flow: unidirectional, 10% law of energy transfer (Lindeman 1942: only 10% energy transferred to next trophic level); Food chains: Grazing food chain (GFC) vs Detritus food chain (DFC); Ecological pyramids: Pyramid of number (mostly upright, inverted in tree ecosystem with parasites), Pyramid of biomass (mostly upright, inverted in aquatic sea ecosystem phytoplankton < zooplankton), Pyramid of energy ALWAYS upright (thermodynamic law); Ecological succession: Primary succession (bare rock, newly formed lava) vs Secondary succession (faster, abandoned farmland); Hydrarch (phytoplankton -> submerged -> reed-swamp -> marsh-meadow -> scrub -> forest) vs Xerarch succession (lichens pioneer -> mosses -> annual herbs -> perennial -> shrubs -> forest climax)","50 line-based NCERT MCQs on 10% law and inverted pyramids in sea","50","Ecosystem: Energy Flow, Ecological Pyramids & Ecological Succession","120","36","P: 35 | C: 35 | B: 50 (incl. ~36 PYQs)","Zener diode series resistor calculation Rs = (Vin - Vz) / (IL + Iz)","Pyramid of energy is NEVER inverted justification in Error Book","Ecological pyramids diagrams (upright vs inverted biomass) review",""
"125","DAY 125","2","18","NO","","","","Class 12 Physics Full Syllabus Mock Test 1 (45 Questions, Timed 45 min)","Full-length Class 12 Physics simulation covering all 14 chapters (Electrostatics to Semiconductors) under strict NEET exam timing","45 questions timed mock test under 45 minutes","45","Class 12 Physics Full Syllabus Mock Test 1 (45 Questions, Timed 45 min)","Class 12 Chemistry Full Syllabus Mock Test 1 (45 Questions, Timed 45 min)","Full-length Class 12 Chemistry simulation covering all 10 chapters (Solutions to Biomolecules) under strict NEET exam timing","45 questions timed mock test under 45 minutes","45","Class 12 Chemistry Full Syllabus Mock Test 1 (45 Questions, Timed 45 min)","Biodiversity and its Conservation: Levels of Biodiversity & Patterns of Biodiversity","Levels: Genetic diversity (Rauwolfia vomitoria reserpine concentration, 50,000 strains of rice, 1,000 varieties of mango in India), Species diversity (Western Ghats amphibians > Eastern Ghats), Ecological diversity (India deserts, rainforests, coral reefs > Scandinavia); Global species estimates: Robert May estimate ~7 million species (insects 70% of animal species, fungi species > fish+amphibians+reptiles+mammals combined); Patterns: Latitudinal gradients (biodiversity decreases from equator to poles; Amazon rainforest greatest biodiversity ""lungs of the planet""); Species-Area relationship: Alexander von Humboldt (log S = log C + z log A, rectangular hyperbola, z = 0.1 to 0.2 for local, z = 0.6 to 1.2 for continents e.g. frugivorous birds)","50 line-based NCERT MCQs on Robert May estimates and Humboldt species-area equation","50","Biodiversity and its Conservation: Levels of Biodiversity & Patterns of Biodiversity","140","42","P: 45 | C: 45 | B: 50 (incl. ~42 PYQs)","Full audit of Class 12 Physics Mock 1 test errors","Audit of Class 12 Chemistry Mock 1 test errors in Error Book","Global biodiversity pie charts (Invertebrates, Vertebrates, Plants) review",""
"126","DAY 126","2","18","NO","","","","Class 12 Physics Full Syllabus Mock Test 2 (45 Questions, Timed 45 min)","Second full-length Class 12 Physics simulation with focus on Optics, Electrodynamics, and Modern Physics numericals","45 questions timed mock test under 45 minutes","45","Class 12 Physics Full Syllabus Mock Test 2 (45 Questions, Timed 45 min)","Class 12 Chemistry Full Syllabus Mock Test 2 (45 Questions, Timed 45 min)","Second full-length Class 12 Chemistry simulation with focus on Physical Chemistry calculations and Organic Mechanisms","45 questions timed mock test under 45 minutes","45","Class 12 Chemistry Full Syllabus Mock Test 2 (45 Questions, Timed 45 min)","Biodiversity and its Conservation: Biodiversity Loss & Conservation Strategies","Loss of biodiversity: Evil Quartet (1) Habitat loss and fragmentation most important cause, (2) Over-exploitation e.g., Steller sea cow, passenger pigeon, (3) Alien species invasions e.g., Nile perch introduced in Lake Victoria wiped out cichlid fish, water hyacinth Eichhornia, Parthenium/carrot grass, African catfish Clarias gariepinus, (4) Co-extinctions; Conservation strategies: In-situ (on-site: 14 Biosphere reserves, 90 National parks, 448 Wildlife sanctuaries in India, 34 Global biodiversity hotspots including Western Ghats-Sri Lanka, Indo-Burma, Himalayas; Sacred groves in Khasi/Jaintia hills Meghalaya, Aravalli hills Rajasthan); Ex-situ (off-site: Zoological parks, Botanical gardens, Wildlife safari parks, Cryopreservation of gametes at -196°C, seed banks); Earth Summit (Rio de Janeiro 1992) & World Summit (Johannesburg 2002)","50 line-based NCERT MCQs on Evil Quartet and In-situ vs Ex-situ conservation examples","50","Biodiversity and its Conservation: Biodiversity Loss & Conservation Strategies","140","42","P: 45 | C: 45 | B: 50 (incl. ~42 PYQs)","Full audit of Class 12 Physics Mock 2 test errors","Audit of Class 12 Chemistry Mock 2 test errors in Error Book","In-situ vs Ex-situ conservation comparative table and Sacred groves list",""
"127","DAY 127","2","19","NO","","","","Class 12 Physics Error-Book Blitz: Re-solving All Missed Questions (Days 81–126)","Thorough re-solving of every single question marked in the Error Book from Class 12 Physics across all electrodynamics, optics, and modern physics units","40 targeted error-book numericals solved with full steps","40","Class 12 Physics Error-Book Blitz: Re-solving All Missed Questions (Days 81–126)","Class 12 Chemistry Error-Book Blitz: Re-solving All Missed Questions (Days 81–126)","Thorough re-solving of every single question marked in the Error Book from Class 12 Chemistry (Solutions, Kinetics, Coordination, Organic named reactions)","40 targeted error-book chemistry problems solved with full steps","40","Class 12 Chemistry Error-Book Blitz: Re-solving All Missed Questions (Days 81–126)","Class 12 Biology Full Syllabus Mock Test 1 (90 Questions, Timed 45 min)","Full-length Class 12 Biology simulation covering all 13 chapters (Reproduction, Genetics, Evolution, Human Health, Biotech, Ecology) with strict negative marking","90 questions timed mock test under 45 minutes","90","Class 12 Biology Full Syllabus Mock Test 1 (90 Questions, Timed 45 min)","170","51","P: 40 | C: 40 | B: 90 (incl. ~51 PYQs)","Error-book physics numerical re-checks","Error-book chemistry reaction and formula re-checks in Error Book","Audit of Class 12 Biology Mock 1 test errors",""
"128","DAY 128","2","19","NO","","","","Class 12 Physics High-Yield Formula Memorization Sheet Verification","Verbatim writing and derivation checking of all 180+ master formulas of Class 12 Physics without viewing notes","40 speed calculation problems testing formula recall","40","Class 12 Physics High-Yield Formula Memorization Sheet Verification","Class 12 Chemistry High-Yield Formula & Named Reactions Verification","Verbatim writing of all physical formulas, coordination nomenclature rules, and 25 organic named reactions of Class 12","40 speed reaction and trend problems testing recall","40","Class 12 Chemistry High-Yield Formula & Named Reactions Verification","Class 12 Biology Full Syllabus Mock Test 2 (90 Questions, Timed 45 min)","Second full-length Class 12 Biology simulation with focus on Genetics pedigree problems, Biotechnology enzymes, and Ecology graphs","90 questions timed mock test under 45 minutes","90","Class 12 Biology Full Syllabus Mock Test 2 (90 Questions, Timed 45 min)","170","51","P: 40 | C: 40 | B: 90 (incl. ~51 PYQs)","Physics formula sheet active recall check","Chemistry reaction reagent sheet active recall check in Error Book","Audit of Class 12 Biology Mock 2 test errors",""
"129","DAY 129","2","19","NO","","","","Class 12 Physics, Chemistry & Biology Triple Rapid Marathon","Comprehensive review of all Class 12 high-yield topics across Physics, Chemistry, and Biology before the Grand Phase 2 Diagnostic Exam","40 high-yield multi-topic Physics numericals","40","Class 12 Physics, Chemistry & Biology Triple Rapid Marathon","Class 12 Chemistry Lightning Review","Multi-topic review across Physical, Inorganic, and Organic Class 12","40 high-yield multi-topic Chemistry MCQs","40","Class 12 Chemistry Lightning Review","Class 12 Biology Lightning Review","Multi-topic review across all Class 12 Biology units","40 high-yield multi-topic Biology MCQs","40","Class 12 Biology Lightning Review","120","36","P: 40 | C: 40 | B: 40 (incl. ~36 PYQs)","Consolidated 3-subject active recall of all Class 12 key formulas, diagrams, and definitions","Final clearance of all remaining Class 12 Error Book entries","NCERT Class 12 scientist contributions review",""
"130","DAY 130","2","19","NO","","","","Class 12 Electrodynamics & Circuits: Multi-Concept Numerical Marathon","Comprehensive multi-concept problems linking Coulomb law, Gauss law, dielectric capacitors, Kirchhoff loops, and RC circuits","40 multi-concept electrodynamics numericals","40","Class 12 Electrodynamics & Circuits: Multi-Concept Numerical Marathon","Class 12 Physical Chemistry: Integrated Numerical Drill (Solutions + Electro + Kinetics)","Advanced calculation drill covering colligative properties, van't Hoff factor, Nernst equation EMF, Kohlrausch law, and Arrhenius temperature kinetics","40 timed physical chemistry calculation problems","40","Class 12 Physical Chemistry: Integrated Numerical Drill (Solutions + Electro + Kinetics)","Class 12 Biology: Reproduction & Genetics Assertion-Reason Master Drill","50 high-yield Assertion-Reason and Statement-based questions covering Flowering Plants, Human Reproduction, Reproductive Health, and Mendelian Genetics","50 NCERT line-based assertion-reason MCQs","50","Class 12 Biology: Reproduction & Genetics Assertion-Reason Master Drill","130","39","P: 40 | C: 40 | B: 50 (incl. ~39 PYQs)","Consolidated review of electrodynamics formulas and circuit theorems","Nernst equation sign and n-factor trap checklist in Error Book","Genetics pedigree charts and chromosome disorder karyotypes review",""
